# strain(%), strain_el(%), stress(GPa)
0.15520000 0.15501907 0.12029328
0.15560000 0.15540362 0.12059143
0.15600000 0.15194833 0.11791242
0.15640000 0.15256535 0.11839082
0.15680000 0.15319055 0.11887556
0.15720000 0.15347574 0.11909668
0.15760000 0.15366372 0.11924243
0.15800000 0.15409382 0.11957590
0.15840000 0.15470349 0.12004860
0.15880000 0.15510218 0.12035772
0.15920000 0.15536043 0.12055795
0.15960000 0.15597177 0.12103195
0.16000000 0.15652879 0.12146382
0.16040000 0.15641087 0.12137240
0.16080000 0.15703250 0.12185436
0.16120000 0.16104389 0.12496455
0.16160000 0.16132468 0.12518225
0.16200000 0.16202074 0.12572193
0.16240000 0.15854098 0.12302394
0.16280000 0.15916837 0.12351039
0.16320000 0.15937083 0.12366736
0.16360000 0.15938749 0.12368028
0.16400000 0.16016644 0.12428423
0.16440000 0.16071196 0.12470719
0.16480000 0.16162650 0.12541626
0.16520000 0.16113418 0.12503455
0.16560000 0.15303954 0.11875848
0.16600000 0.15697263 0.12180795
0.16640000 0.15754858 0.12225450
0.16680000 0.15766384 0.12234386
0.16720000 0.15486985 0.12017758
0.16760000 0.15512170 0.12037286
0.16800000 0.15548306 0.12065302
0.16840000 0.15583879 0.12092884
0.16880000 0.15613389 0.12115764
0.16920000 0.15682474 0.12169328
0.16960000 0.15727780 0.12204456
0.17000000 0.15764458 0.12232893
0.17040000 0.15808616 0.12267131
0.17080000 0.16173741 0.12550226
0.17120000 0.16215898 0.12582912
0.17160000 0.15903557 0.12340742
0.17200000 0.15950387 0.12377051
0.17240000 0.15987349 0.12405709
0.17280000 0.16018507 0.12429867
0.17320000 0.16067438 0.12467805
0.17360000 0.16112022 0.12502372
0.17400000 0.16146337 0.12528978
0.17440000 0.16211629 0.12579601
0.17480000 0.16239092 0.12600894
0.17520000 0.16271377 0.12625926
0.17560000 0.16312602 0.12657890
0.17600000 0.16335249 0.12675449
0.17640000 0.16396548 0.12722976
0.17680000 0.16418209 0.12739770
