# strain(%), strain_el(%), stress(GPa)
0.12160000 0.12137525 0.09420799
0.12200000 0.12175515 0.09450254
0.12240000 0.12216949 0.09482380
0.12280000 0.12251743 0.09509357
0.12320000 0.12303106 0.09549180
0.12360000 0.12343653 0.09580618
0.12400000 0.12385114 0.09612764
0.12440000 0.12417931 0.09638208
0.12480000 0.12451750 0.09664429
0.12520000 0.12503676 0.09704690
0.12560000 0.12529194 0.09724474
0.12600000 0.12566193 0.09753161
0.12640000 0.12599723 0.09779158
0.12680000 0.12660670 0.09826413
0.12720000 0.12702541 0.09858877
0.12760000 0.12736983 0.09885581
0.12800000 0.12769489 0.09910784
0.12840000 0.12813430 0.09944854
0.12880000 0.12858611 0.09979884
0.12920000 0.12895067 0.10008149
0.12960000 0.12935670 0.10039630
0.13000000 0.12992391 0.10083609
0.13040000 0.13022471 0.10106930
0.13080000 0.13045680 0.10124925
0.13120000 0.13089824 0.10159152
0.13160000 0.13140126 0.10198153
0.13200000 0.13198129 0.10243125
0.13240000 0.13221309 0.10261097
0.13280000 0.13258401 0.10289855
0.13320000 0.13292281 0.10316124
0.13360000 0.13331487 0.10346522
0.13400000 0.13382905 0.10386388
0.13440000 0.13449880 0.10438316
0.13480000 0.13461534 0.10447352
0.13520000 0.13477121 0.10459437
0.13560000 0.13537865 0.10506534
0.13600000 0.13577583 0.10537329
0.13640000 0.13619725 0.10570003
0.13680000 0.13665050 0.10605146
0.13720000 0.13713729 0.10642888
0.13760000 0.13738679 0.10662233
0.13800000 0.13768304 0.10685202
0.13840000 0.13814165 0.10720760
0.13880000 0.13869894 0.10763969
0.13920000 0.13901256 0.10788284
0.13960000 0.13915235 0.10799123
0.14000000 0.13969421 0.10841135
0.14040000 0.14015068 0.10876527
0.14080000 0.14054153 0.10906831
0.14120000 0.14100631 0.10942867
0.14160000 0.14137452 0.10971416
0.14200000 0.14183057 0.11006775
0.14240000 0.14205171 0.11023921
0.14280000 0.14228861 0.11042288
0.14320000 0.14292761 0.11091833
0.14360000 0.14362194 0.11145667
0.14400000 0.14386374 0.11164414
0.14440000 0.14421668 0.11191779
0.14480000 0.14464678 0.11225127
0.14520000 0.14504728 0.11256179
0.14560000 0.14536073 0.11280481
0.14600000 0.14581362 0.11315596
0.14640000 0.14621792 0.11346943
0.14680000 0.14649626 0.11368523
0.14720000 0.14687170 0.11397633
0.14760000 0.14732870 0.11433065
0.14800000 0.14819938 0.11500573
0.14840000 0.14803310 0.11487680
0.14880000 0.14849569 0.11523547
0.14920000 0.14886656 0.11552301
0.14960000 0.14975675 0.11621321
0.15000000 0.14974952 0.11620761
0.15040000 0.15010512 0.11648331
0.15080000 0.15066839 0.11692004
0.15120000 0.15095860 0.11714505
0.15160000 0.15129940 0.11740928
0.15200000 0.15176910 0.11777346
0.15240000 0.15220101 0.11810833
0.15280000 0.15268245 0.11848162
0.15320000 0.15299568 0.11872447
0.15360000 0.15332662 0.11898106
0.15400000 0.15378276 0.11933472
0.15440000 0.15422217 0.11967542
0.15480000 0.15456265 0.11993940
0.15520000 0.15491640 0.12021368
0.15560000 0.15534648 0.12054713
0.15600000 0.15575080 0.12086062
0.15640000 0.15623598 0.12123680
0.15680000 0.15662236 0.12153637
0.15720000 0.15699685 0.12182673
0.15760000 0.15729120 0.12205494
0.15800000 0.15762703 0.12231533
0.15840000 0.15809130 0.12267529
0.15880000 0.15860436 0.12307309
0.15920000 0.15925864 0.12358038
0.15960000 0.15940158 0.12369120
0.16000000 0.15978623 0.12398944
0.16040000 0.16008263 0.12421924
0.16080000 0.16048826 0.12453374
0.16120000 0.16084962 0.12481392
0.16160000 0.16143075 0.12526449
0.16200000 0.16188518 0.12561682
0.16240000 0.16228616 0.12592772
0.16280000 0.16274583 0.12628412
0.16320000 0.16307931 0.12654268
0.16360000 0.16341894 0.12680601
0.16400000 0.16415648 0.12737785
0.16440000 0.16442952 0.12758955
0.16480000 0.16455184 0.12768438
0.16520000 0.16484203 0.12790938
0.16560000 0.16533936 0.12829498
0.16600000 0.16569377 0.12856976
0.16640000 0.16612819 0.12890658
0.16680000 0.16639536 0.12911373
0.16720000 0.16730317 0.12981759
0.16760000 0.16785242 0.13024344
0.16800000 0.16784538 0.13023799
0.16840000 0.16848360 0.13073282
0.16880000 0.16861822 0.13083720
0.16920000 0.16912433 0.13122961
0.16960000 0.16940172 0.13144468
0.17000000 0.16970612 0.13168069
0.17040000 0.17001199 0.13191784
0.17080000 0.17062292 0.13239152
0.17120000 0.17125570 0.13288213
0.17160000 0.17152122 0.13308800
0.17200000 0.17157354 0.13312856
0.17240000 0.17218717 0.13360434
0.17280000 0.17244860 0.13380703
0.17320000 0.17282681 0.13410027
0.17360000 0.17335368 0.13450877
0.17400000 0.17386149 0.13490250
0.17440000 0.17424093 0.13519669
0.17480000 0.17447348 0.13537699
0.17520000 0.17564342 0.13628409
0.17560000 0.17500007 0.13578528
0.17600000 0.17564526 0.13628552
0.17640000 0.17610870 0.13664484
0.17680000 0.17657852 0.13700911
0.17720000 0.17713591 0.13744128
0.17760000 0.17730503 0.13757240
0.17800000 0.17778049 0.13794104
0.17840000 0.17815470 0.13823118
0.17880000 0.17881801 0.13874547
0.17920000 0.17912721 0.13898520
0.17960000 0.17924929 0.13907986
0.18000000 0.17964765 0.13938872
0.18040000 0.18008794 0.13973009
0.18080000 0.18058838 0.14011810
0.18120000 0.18102556 0.14045706
0.18160000 0.18158723 0.14089255
0.18200000 0.18188942 0.14112685
0.18240000 0.18209018 0.14128250
0.18280000 0.18237491 0.14150326
0.18320000 0.18280439 0.14183625
0.18360000 0.18345866 0.14234353
0.18400000 0.18393069 0.14270952
0.18440000 0.18419118 0.14291149
0.18480000 0.18454461 0.14318551
0.18520000 0.18485487 0.14342607
0.18560000 0.18523727 0.14372256
0.18600000 0.18549352 0.14392124
0.18640000 0.18626322 0.14451801
0.18680000 0.18684781 0.14497127
0.18720000 0.18700795 0.14509543
0.18760000 0.18735150 0.14536180
0.18800000 0.18767966 0.14561623
0.18840000 0.18803359 0.14589065
0.18880000 0.18845898 0.14622047
0.18920000 0.18889445 0.14655811
0.18960000 0.18944494 0.14698492
0.19000000 0.18982854 0.14728234
0.19040000 0.19013167 0.14751737
0.19080000 0.19054322 0.14783645
0.19120000 0.19108157 0.14825385
0.19160000 0.19130805 0.14842945
0.19200000 0.19154527 0.14861338
0.19240000 0.19203224 0.14899095
0.19280000 0.19249924 0.14935303
0.19320000 0.19295839 0.14970902
0.19360000 0.19343866 0.15008139
0.19400000 0.19390346 0.15044177
0.19440000 0.19410193 0.15059565
0.19480000 0.19352105 0.15014528
0.19520000 0.19124584 0.14838123
0.19560000 0.19127449 0.14840343
0.19600000 0.19187133 0.14886619
0.19640000 0.19254660 0.14938975
0.19680000 0.19304609 0.14977702
0.19720000 0.19337028 0.15002838
0.19760000 0.19378828 0.15035247
0.19800000 0.19397054 0.15049378
0.19840000 0.19400280 0.15051879
0.19880000 0.19450257 0.15090628
0.19920000 0.19478736 0.15112709
0.19960000 0.19554547 0.15171488
0.20000000 0.19619364 0.15221743
0.20040000 0.19658410 0.15252017
0.20080000 0.19695866 0.15281058
0.20120000 0.19723232 0.15302276
0.20160000 0.19742030 0.15316851
0.20200000 0.19773311 0.15341104
0.20240000 0.19810792 0.15370165
0.20280000 0.19844258 0.15396112
0.20320000 0.19903713 0.15442210
0.20360000 0.19960480 0.15486223
0.20400000 0.20018662 0.15531333
0.20440000 0.20057822 0.15561696
0.20480000 0.20085828 0.15583410
0.20520000 0.20107216 0.15599993
0.20560000 0.20123495 0.15612614
0.20600000 0.20170943 0.15649402
0.20640000 0.20213180 0.15682151
0.20680000 0.20284261 0.15737262
0.20720000 0.20345703 0.15784900
0.20760000 0.20380743 0.15812068
0.20800000 0.20401688 0.15828308
0.20840000 0.20403497 0.15829710
0.20880000 0.20456744 0.15870995
0.20920000 0.20483647 0.15891854
0.20960000 0.20527401 0.15925777
0.21000000 0.20584493 0.15970043
0.21040000 0.20628433 0.16004112
0.21080000 0.20685192 0.16048119
