# strain(%), strain_el(%), stress(GPa)
0.14280000 0.14173099 0.10999054
0.14320000 0.14227146 0.11040959
0.14360000 0.14292304 0.11091479
0.14400000 0.14337089 0.11126202
0.14440000 0.14371503 0.11152884
0.14480000 0.14766840 0.11459404
0.14520000 0.14779630 0.11469320
0.14560000 0.14820274 0.11500833
0.14600000 0.14477581 0.11235130
0.14640000 0.14550483 0.11291654
0.14680000 0.14578681 0.11313517
0.14720000 0.14605219 0.11334093
0.14760000 0.15036199 0.11668247
0.14800000 0.15050353 0.11679221
0.14840000 0.15074400 0.11697866
0.14880000 0.15161416 0.11765333
0.14920000 0.14817094 0.11498367
0.14960000 0.14854991 0.11527750
0.15000000 0.14916212 0.11575217
0.15040000 0.14960200 0.11609323
0.15080000 0.14992834 0.11634625
0.15120000 0.15040890 0.11671885
0.15160000 0.15042185 0.11672889
0.15200000 0.15118082 0.11731734
0.15240000 0.15556551 0.12071696
0.15280000 0.15544511 0.12062360
0.15320000 0.15587647 0.12095806
0.15360000 0.15602519 0.12107336
0.15400000 0.15316321 0.11885437
0.15440000 0.15343857 0.11906786
0.15480000 0.15381261 0.11935787
0.15520000 0.15404720 0.11953975
0.15560000 0.15456103 0.11993814
0.15600000 0.15525443 0.12047577
0.15640000 0.15556994 0.12072039
0.15680000 0.15579308 0.12089340
0.15720000 0.15641488 0.12137550
0.15760000 0.15711509 0.12191840
0.15800000 0.15737152 0.12211722
0.15840000 0.15743343 0.12216522
0.15880000 0.15785957 0.12249562
0.15920000 0.15822438 0.12277847
0.15960000 0.15819102 0.12275261
0.16000000 0.15897540 0.12336077
0.16040000 0.15933574 0.12364015
0.16080000 0.15982269 0.12401770
0.16120000 0.16392983 0.12720212
0.16160000 0.16426890 0.12746501
0.16200000 0.16107571 0.12498922
0.16240000 0.16139267 0.12523497
0.16280000 0.16165053 0.12543490
0.16320000 0.16232073 0.12595452
0.16360000 0.16624661 0.12899840
0.16400000 0.16655195 0.12923515
0.16440000 0.16701944 0.12959761
0.16480000 0.16741043 0.12990076
0.16520000 0.16776127 0.13017278
0.16560000 0.16808172 0.13042123
0.16600000 0.16881600 0.13099055
0.16640000 0.16538106 0.12832731
0.16680000 0.16585969 0.12869841
0.16720000 0.16608399 0.12887232
0.16760000 0.16636410 0.12908950
0.16800000 0.16674423 0.12938422
0.16840000 0.16721346 0.12974804
0.16880000 0.16782469 0.13022195
0.16920000 0.16830388 0.13059348
0.16960000 0.16866910 0.13087665
0.17000000 0.16879230 0.13097217
0.17040000 0.16917659 0.13127012
0.17080000 0.16951393 0.13153168
0.17120000 0.17376075 0.13482439
0.17160000 0.17406195 0.13505792
0.17200000 0.17464302 0.13550845
0.17240000 0.17502544 0.13580495
0.17280000 0.17172203 0.13324370
0.17320000 0.17204404 0.13349336
0.17360000 0.17236644 0.13374333
0.17400000 0.17265749 0.13396899
0.17440000 0.17320355 0.13439237
0.17480000 0.17394123 0.13496432
0.17520000 0.17436390 0.13529204
0.17560000 0.17458703 0.13546503
0.17600000 0.17503328 0.13581103
0.17640000 0.17533224 0.13604282
0.17680000 0.17565568 0.13629360
0.17720000 0.17635384 0.13683491
0.17760000 0.17678821 0.13717169
0.17800000 0.17696582 0.13730940
0.17840000 0.17717417 0.13747094
0.17880000 0.18120915 0.14059941
0.17920000 0.18142697 0.14076829
0.17960000 0.18235187 0.14148540
0.18000000 0.18253904 0.14163052
0.18040000 0.18291602 0.14192281
0.18080000 0.17988680 0.13957414
0.18120000 0.18003215 0.13968684
0.18160000 0.18051666 0.14006249
0.18200000 0.18096677 0.14041148
0.18240000 0.18152992 0.14084811
0.18280000 0.18154842 0.14086245
0.18320000 0.18214760 0.14132703
0.18360000 0.18257027 0.14165473
0.18400000 0.18277440 0.14181300
0.18440000 0.18318236 0.14212931
0.18480000 0.18377919 0.14259205
0.18520000 0.18785576 0.14575277
0.18560000 0.18820927 0.14602686
0.18600000 0.18858631 0.14631919
0.18640000 0.18524923 0.14373183
0.18680000 0.18528401 0.14375880
0.18720000 0.18584302 0.14419222
0.18760000 0.18670443 0.14486010
0.18800000 0.18675171 0.14489676
0.18840000 0.19105314 0.14823182
0.18880000 0.19189659 0.14888577
0.18920000 0.19158837 0.14864680
0.18960000 0.19205244 0.14900661
0.19000000 0.18904710 0.14667646
0.19040000 0.18918709 0.14678499
0.19080000 0.18930624 0.14687738
0.19120000 0.18983206 0.14728507
0.19160000 0.19413117 0.15061833
0.19200000 0.19455008 0.15094312
0.19240000 0.19491581 0.15122668
0.19280000 0.19541208 0.15161146
0.19320000 0.19165057 0.14869503
0.19360000 0.19208443 0.14903141
0.19400000 0.19242994 0.14929930
0.19440000 0.19319407 0.14989176
0.19480000 0.19365811 0.15025154
0.19520000 0.19447960 0.15088847
0.19560000 0.19433961 0.15077993
0.19600000 0.19463222 0.15100681
0.19640000 0.19465448 0.15102407
0.19680000 0.19555222 0.15172011
0.19720000 0.19605721 0.15211165
0.19760000 0.19660265 0.15253455
0.19800000 0.19679981 0.15268742
0.19840000 0.19701935 0.15285764
0.19880000 0.19763625 0.15333594
0.19920000 0.19811026 0.15370346
0.19960000 0.19819597 0.15376991
0.20000000 0.20251015 0.15711485
0.20040000 0.20277914 0.15732341
0.20080000 0.19960251 0.15486046
0.20120000 0.19970762 0.15494195
0.20160000 0.20020853 0.15533033
0.20200000 0.20081259 0.15579867
0.20240000 0.20174607 0.15652243
0.20280000 0.20120468 0.15610267
0.20320000 0.20181880 0.15657882
0.20360000 0.20269193 0.15725579
0.20400000 0.20295695 0.15746127
0.20440000 0.20319550 0.15764623
0.20480000 0.20337606 0.15778622
0.20520000 0.20761323 0.16107146
0.20560000 0.20819330 0.16152121
0.20600000 0.20857424 0.16181657
