# strain(%), energy_raw(eV), energy(eV)
0.12400000 -22367.72257966 0.01587517
0.12440000 -22367.72241098 0.01589481
0.12480000 -22367.72220323 0.01595305
0.12520000 -22367.72201530 0.01599097
0.12560000 -22367.72184012 0.01601568
0.12600000 -22367.72164907 0.01605577
0.12640000 -22367.72144999 0.01610341
0.12680000 -22367.72128252 0.01611895
0.12720000 -22367.72108616 0.01616291
0.12760000 -22367.72088929 0.01620691
0.12800000 -22367.72068546 0.01625738
0.12840000 -22367.72051848 0.01627052
0.12880000 -22367.72032153 0.01631315
0.12920000 -22367.72014209 0.01633779
0.12960000 -22367.71994416 0.01638043
0.13000000 -22367.71971842 0.01645042
0.13040000 -22367.71955350 0.01645910
0.13080000 -22367.71935604 0.01649984
0.13120000 -22367.71916799 0.01653068
0.13160000 -22367.71895922 0.01658178
0.13200000 -22367.71876089 0.01662194
0.13240000 -22367.71856961 0.01665459
0.13280000 -22367.71835621 0.01670887
0.13320000 -22367.71818621 0.01671927
0.13360000 -22367.71798655 0.01675885
0.13400000 -22367.71778586 0.01679898
0.13440000 -22367.71758993 0.01683386
0.13480000 -22367.71739051 0.01687176
0.13520000 -22367.71717251 0.01692777
0.13560000 -22367.71696576 0.01697204
0.13600000 -22367.71677168 0.01700316
0.13640000 -22367.71655814 0.01705326
0.13680000 -22367.71634795 0.01709953
0.13720000 -22367.71615973 0.01712335
0.13760000 -22367.71595075 0.01716745
0.13800000 -22367.71576175 0.01719109
0.13840000 -22367.71553195 0.01725504
0.13880000 -22367.71534423 0.01727645
0.13920000 -22367.71512670 0.01732718
0.13960000 -22367.71490801 0.01737858
0.14000000 -22367.71471357 0.01740527
0.14040000 -22367.71451099 0.01743961
0.14080000 -22367.71428807 0.01749381
0.14120000 -22367.71406697 0.01754571
0.14160000 -22367.71384906 0.01759394
0.14200000 -22367.71365969 0.01761315
0.14240000 -22367.71344174 0.01766046
0.14280000 -22367.71322516 0.01770592
0.14320000 -22367.71302610 0.01773338
0.14360000 -22367.71279333 0.01779407
0.14400000 -22367.71258782 0.01782702
0.14440000 -22367.71236719 0.01787461
0.14480000 -22367.71216552 0.01790276
0.14520000 -22367.71191418 0.01798009
0.14560000 -22367.71172423 0.01799556
0.14600000 -22367.71153020 0.01801464
0.14640000 -22367.71129078 0.01807862
0.14680000 -22367.71106188 0.01813160
0.14720000 -22367.71085357 0.01816350
0.14760000 -22367.71060207 0.01823813
0.14800000 -22367.71036765 0.01829519
0.14840000 -22367.71018392 0.01830108
0.14880000 -22367.70997174 0.01833494
0.14920000 -22367.70975466 0.01837321
0.14960000 -22367.70952462 0.01842398
0.15000000 -22367.70929377 0.01847507
0.15040000 -22367.70905383 0.01853477
0.15080000 -22367.70882552 0.01858236
0.15120000 -22367.70860852 0.01861816
0.15160000 -22367.70839321 0.01865179
0.15200000 -22367.70815850 0.01870434
0.15240000 -22367.70793828 0.01874192
0.15280000 -22367.70770933 0.01878775
0.15320000 -22367.70746350 0.01884998
0.15360000 -22367.70721323 0.01891617
0.15400000 -22367.70701400 0.01893083
0.15440000 -22367.70678045 0.01897935
0.15480000 -22367.70652756 0.01904672
0.15520000 -22367.70629397 0.01909431
